policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,7.3619008380967275,91.21185019320413,0.9862086149428978,1.045543207850872
storage,COMPLETED_INFEASIBLE,6,0,9.910574343945035,91.21185019320413,0.9862086149428978,1.045543207850872
tap,COMPLETED_INFEASIBLE,4,0,7.178969081299297,91.18676886671186,0.9988832613513277,1.0323293902911428
combined,COMPLETED_INFEASIBLE,4,0,9.741769272297049,91.18676886671186,0.9988832613513277,1.0323293902911428
