policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,5.365548453403414,63.63511285210405,0.9903837339265322,0.7292482460211663
tap_m2,COMPLETED_VALID,0,0,5.502087751067577,63.64769748102841,0.9777597558161351,0.7386365550744635
tap_p2,COMPLETED_VALID,0,0,5.234029205029833,63.6230018648305,1.003004568061877,0.7200975242300236
tap_p4,COMPLETED_VALID,0,0,5.107286844394895,63.611340920077616,1.0156223773248254,0.7111754130042102
combined_0,COMPLETED_VALID,0,0,5.686197261701188,61.77832469591328,1.016164088040243,0.6918803121828341
combined_1,COMPLETED_VALID,0,0,5.6758421101655046,61.77832469591328,1.016164088040243,0.6918803121828341
combined_2,COMPLETED_VALID,0,0,6.284947054678247,59.947633313611945,1.0162722506369062,0.6726467120219916
combined_3,COMPLETED_VALID,0,0,6.2641990137135615,59.947633313611945,1.0162722506369062,0.6726467120219916
combined_4,COMPLETED_VALID,0,0,7.541996433257798,56.29318981067172,1.0164880308547004,0.6409000323187963
combined_5,COMPLETED_VALID,0,0,7.500348366495424,56.29318981067172,1.0164880308547004,0.6343764441188957
combined_6,COMPLETED_INFEASIBLE,19,0,8.878503702128636,52.647940470848596,1.0167030891017625,0.6409000323187963
combined_7,COMPLETED_INFEASIBLE,15,0,8.81580153240984,52.647940470848596,1.0167030891017625,0.5963934172987867
