policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,5.603070253539251,63.63511285210405,0.9903837339265322,0.7362917549345194
tap_m2,COMPLETED_VALID,0,0,5.745469940142222,63.64769748102841,0.9777597558161351,0.7454092050228875
tap_p2,COMPLETED_VALID,0,0,5.465897687049856,63.6230018648305,1.003004568061877,0.7273923717176886
tap_p4,COMPLETED_VALID,0,0,5.333699531636073,63.611340920077616,1.0156223773248254,0.7187034026181529
combined_loss,COMPLETED_VALID,0,0,5.891961912913648,61.77832469591328,1.016164088040243,0.6975650587850526
combined_peak,COMPLETED_VALID,0,0,7.731476521236176,56.29318981067172,1.0164880308547004,0.6343764441188957
storage_loss,COMPLETED_VALID,0,0,6.150161066448881,61.80064125572826,0.9909394229991882,0.7146454104159025
storage_peak,COMPLETED_VALID,0,0,7.964405753923704,56.3118731840967,0.9912718357688993,0.6504677990989305
