policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,44,0,13.978747743697713,110.4518314863745,0.9760464856543802,1.5822701751588968
combined_loss,COMPLETED_INFEASIBLE,39,0,13.908918483332698,110.34164835074395,1.0016560602644227,1.5420898842039141
combined_peak,COMPLETED_INFEASIBLE,36,0,15.88779965514604,110.34164835074395,1.0016560602644227,1.5420898842039141
storage_loss,COMPLETED_INFEASIBLE,43,0,14.593728428917743,110.4518314863745,0.9760464856543802,1.5822701751588968
storage_peak,COMPLETED_INFEASIBLE,40,0,16.553507198050387,110.4518314863745,0.9760464856543802,1.5822701751588968
