policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,5.38817093385695,63.63511285210405,0.9903837339265322,0.7292482460211663
tap_m2,COMPLETED_VALID,0,0,5.525301636463412,63.64769748102841,0.9777597558161351,0.7386365550744635
tap_p2,COMPLETED_VALID,0,0,5.256082747746458,63.6230018648305,1.003004568061877,0.7200975242300236
tap_p4,COMPLETED_VALID,0,0,5.128792786320841,63.611340920077616,1.0156223773248254,0.7111754130042102
combined_0,COMPLETED_VALID,0,0,5.70692668428507,61.77832469591328,1.016164088040243,0.6918803121828341
combined_1,COMPLETED_VALID,0,0,5.694587368523609,61.77832469591328,1.016164088040243,0.6918803121828341
combined_2,COMPLETED_VALID,0,0,6.304903816722783,59.947633313611945,1.0162722506369062,0.6726467120219916
combined_3,COMPLETED_VALID,0,0,6.280180070102698,59.947633313611945,1.0162722506369062,0.6726467120219916
combined_4,COMPLETED_VALID,0,0,7.560419394442204,56.29318981067172,1.0164880308547004,0.6343764441188957
combined_5,COMPLETED_VALID,0,0,7.51079019909569,56.29318981067172,1.0164880308547004,0.6343764441188957
combined_6,COMPLETED_INFEASIBLE,19,0,8.895408131429695,52.647940470848596,1.0167030891017625,0.5963934172987867
combined_7,COMPLETED_INFEASIBLE,15,0,8.820689270725019,52.647940470848596,1.0167030891017625,0.5963934172987867
