policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,7.597754742020758,91.21185019320413,0.9862086149428978,1.045543207850872
tap_m2,COMPLETED_INFEASIBLE,6,0,7.793473994174889,91.23792246691802,0.9735293693297857,1.059103951082682
tap_p2,COMPLETED_INFEASIBLE,4,0,7.4093441932541095,91.18676886671186,0.9988832613513277,1.0323293902911428
tap_p4,COMPLETED_INFEASIBLE,4,0,7.227881528483266,91.16262851514738,1.011553485469669,1.0194492031977853
combined_0,COMPLETED_VALID,0,0,7.785827641285173,89.31666594618494,1.012200888236597,0.999996808449277
combined_1,COMPLETED_VALID,0,0,7.771848097497306,89.31666594618494,1.012200888236597,0.999996808449277
combined_2,COMPLETED_VALID,0,0,8.363877645937153,87.47307373677957,1.0123950339251646,0.980595440179699
combined_3,COMPLETED_VALID,0,0,8.335867022546292,87.47307373677957,1.0123950339251646,0.980595440179699
combined_4,COMPLETED_VALID,0,0,9.580319476895925,83.79296397660106,1.0126132715752618,0.9419513623388659
combined_5,COMPLETED_VALID,0,0,9.524090661900619,83.79296397660106,1.0126132715752618,0.9419513623388659
combined_6,COMPLETED_INFEASIBLE,19,0,10.877272867230548,80.12222700848285,1.012830771162219,0.9035293519773533
combined_7,COMPLETED_INFEASIBLE,15,0,10.792615406753821,80.12222700848285,1.012830771162219,0.9035293519773533
