policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,7.757815475887856,91.21185019320413,0.9862086149428978,1.045543207850872
tap_m2,COMPLETED_INFEASIBLE,6,0,7.957440711387385,91.23792246691802,0.9735293693297857,1.059103951082682
tap_p2,COMPLETED_INFEASIBLE,4,0,7.565634846815844,91.18676886671186,0.9988832613513277,1.0323293902911428
tap_p4,COMPLETED_INFEASIBLE,4,0,7.380531870301859,91.16262851514738,1.011553485469669,1.0194492031977853
combined_loss,COMPLETED_VALID,0,0,7.9169018901190435,89.31666594618494,1.012200888236597,0.999996808449277
combined_peak,COMPLETED_VALID,0,0,9.698835512270897,83.79296397660106,1.0126132715752618,0.9419513623388659
storage_loss,COMPLETED_INFEASIBLE,4,0,8.281720538380803,89.36373469047005,0.9868729256068808,1.025578518774492
storage_peak,COMPLETED_VALID,0,0,10.03501763592929,83.83433641656191,0.9872962913181771,0.9660130459627737
