policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,10.078111007032952,91.21185019320413,0.9862086149428978,1.045543207850872
storage,COMPLETED_VALID,0,0,12.059240690723875,83.83433641656191,0.9872962913181771,0.9660130459627737
tap,COMPLETED_INFEASIBLE,4,0,9.830565993661152,91.18676886671186,0.9988832613513277,1.0323293902911428
combined,COMPLETED_VALID,0,0,11.839595634032694,83.81325579622953,0.9999568070417506,0.9538288440837052
