policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,18,0,9.981258521986502,109.7009061243054,0.9834066859352067,1.2576982108593002
storage,COMPLETED_INFEASIBLE,10,0,12.180446634012206,102.28649789029052,0.9846287909472744,1.1776875690644169
tap,COMPLETED_INFEASIBLE,16,0,9.732253753228008,109.6644302279606,0.9961179176809349,1.2417261513319156
combined,COMPLETED_INFEASIBLE,10,0,11.954575066712902,102.25499768177164,0.9973239963199925,1.1627627126294062
