policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,6.478961137977065,77.40015978574255,0.9883003027349101,0.8871076783180245
tap_m2,COMPLETED_VALID,0,0,6.644702531750079,77.41885533160168,0.9756488568753958,0.8985706331742276
tap_p2,COMPLETED_VALID,0,0,6.3193547383008175,77.38217132146659,1.000947885536332,0.875936385888771
tap_p4,COMPLETED_VALID,0,0,6.165583674156169,77.36485449657545,1.0135917527420037,0.8650456579220751
combined_loss,COMPLETED_VALID,0,0,6.712986570094991,75.52540093702788,1.0142284124145682,0.8456718962129416
combined_peak,COMPLETED_VALID,0,0,8.523948070642419,70.02108884490838,1.0145541897490093,0.7878899896668601
storage_loss,COMPLETED_VALID,0,0,7.014555483775639,75.55890600130851,0.9889534911864977,0.8672278530129947
storage_peak,COMPLETED_VALID,0,0,8.798590216464675,70.04994075166164,0.9892878852002568,0.8079451224191082
