policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,6.291398327784613,77.40015978574255,0.9883003027349101,0.8871076783180245
tap_m2,COMPLETED_VALID,0,0,6.452548015451957,77.41885533160168,0.9756488568753958,0.8985706331742276
tap_p2,COMPLETED_VALID,0,0,6.136223127953101,77.38217132146659,1.000947885536332,0.875936385888771
tap_p4,COMPLETED_VALID,0,0,5.986730051254112,77.36485449657545,1.0135917527420037,0.8650456579220751
combined_0,COMPLETED_VALID,0,0,6.554852212555004,75.52540093702788,1.0142284124145682,0.8456718962129416
combined_1,COMPLETED_VALID,0,0,6.541697205068792,75.52540093702788,1.0142284124145682,0.8456718962129416
combined_2,COMPLETED_VALID,0,0,7.1429470931778045,73.68829478105583,1.0143371885318435,0.8263533568890112
combined_3,COMPLETED_VALID,0,0,7.1165887792929965,73.68829478105583,1.0143371885318435,0.8263533568890112
combined_4,COMPLETED_VALID,0,0,8.379085904815845,70.02108884490838,1.0145541897490093,0.7878899896668601
combined_5,COMPLETED_VALID,0,0,8.326174749036689,70.02108884490838,1.0145541897490093,0.7878899896668601
combined_6,COMPLETED_INFEASIBLE,19,0,9.69521374277224,66.36316561809764,1.0147704610238344,0.7496737176854832
combined_7,COMPLETED_INFEASIBLE,15,0,9.615552519025005,66.36316561809764,1.0147704610238344,0.7496737176854832
