policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,44,0,14.033964617919137,110.4518314863745,0.9760464856543802,1.5822701751588968
storage,COMPLETED_INFEASIBLE,40,0,16.726045275883866,110.4518314863745,0.9760464856543802,1.5822701751588968
tap,COMPLETED_INFEASIBLE,42,0,13.67933815162963,110.39566100687416,0.9888552873374615,1.561916255394106
combined,COMPLETED_INFEASIBLE,38,0,16.382486087873207,110.39566100687416,0.9888552873374615,1.561916255394106
