policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,44,0,13.971652532513264,110.4518314863745,0.9760464856543802,1.5822701751588968
storage,COMPLETED_INFEASIBLE,40,0,16.601638958780384,110.4518314863745,0.9760464856543802,1.5822701751588968
tap,COMPLETED_INFEASIBLE,42,0,13.618581013125294,110.39566100687416,0.9888552873374615,1.561916255394106
combined,COMPLETED_INFEASIBLE,38,0,16.261184061243085,110.39566100687416,0.9888552873374615,1.561916255394106
