policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,9.742504791959707,91.21185019320413,0.9862086149428978,1.045543207850872
storage,COMPLETED_VALID,0,0,11.786802869522838,83.83433641656191,0.9872962913181771,0.9660130459627737
tap,COMPLETED_INFEASIBLE,4,0,9.502818665994578,91.18676886671186,0.9988832613513277,1.0323293902911428
combined,COMPLETED_VALID,0,0,11.573566802245583,83.81325579622953,0.9999568070417506,0.9538288440837052
