policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,6.4924434439637295,77.40015978574255,0.9883003027349101,0.8871076783180245
tap_m2,COMPLETED_VALID,0,0,6.6585203499040775,77.41885533160168,0.9756488568753958,0.8985706331742276
tap_p2,COMPLETED_VALID,0,0,6.332513486002026,77.38217132146659,1.000947885536332,0.875936385888771
tap_p4,COMPLETED_VALID,0,0,6.178430262852773,77.36485449657545,1.0135917527420037,0.8650456579220751
combined_loss,COMPLETED_VALID,0,0,6.723046959768972,75.52540093702788,1.0142284124145682,0.8456718962129416
combined_peak,COMPLETED_VALID,0,0,8.531484452056525,70.02108884490838,1.0145541897490093,0.7878899896668601
storage_loss,COMPLETED_VALID,0,0,7.025116143124358,75.55890600130851,0.9889534911864977,0.8672278530129947
storage_peak,COMPLETED_VALID,0,0,8.806486786237226,70.04994075166164,0.9892878852002568,0.8079451224191082
