policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,6.247771709848732,77.40015978574255,0.9883003027349101,0.8871076783180245
tap_m2,COMPLETED_VALID,0,0,6.4077876896377886,77.41885533160168,0.9756488568753958,0.8985706331742276
tap_p2,COMPLETED_VALID,0,0,6.093687440541281,77.38217132146659,1.000947885536332,0.875936385888771
tap_p4,COMPLETED_VALID,0,0,5.945244653467089,77.36485449657545,1.0135917527420037,0.8650456579220751
combined_0,COMPLETED_VALID,0,0,6.514145380738823,75.52540093702788,1.0142284124145682,0.8456718962129416
combined_1,COMPLETED_VALID,0,0,6.502990358950206,75.52540093702788,1.0142284124145682,0.8456718962129416
combined_2,COMPLETED_VALID,0,0,7.1030148896736005,73.68829478105583,1.0143371885318435,0.8263533568890112
combined_3,COMPLETED_VALID,0,0,7.080664020127491,73.68829478105583,1.0143371885318435,0.8263533568890112
combined_4,COMPLETED_VALID,0,0,8.340691201346717,70.02108884490838,1.0145541897490093,0.7878899896668601
combined_5,COMPLETED_VALID,0,0,8.295825038174948,70.02108884490838,1.0145541897490093,0.7878899896668601
combined_6,COMPLETED_INFEASIBLE,19,0,9.658340955281647,66.36316561809764,1.0147704610238344,0.7496737176854832
combined_7,COMPLETED_INFEASIBLE,15,0,9.590792805940874,66.36316561809764,1.0147704610238344,0.7496737176854832
