policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,44,0,13.978747743697713,110.4518314863745,0.9760464856543802,1.5822701751588968
storage,COMPLETED_INFEASIBLE,40,0,16.634235250821966,110.4518314863745,0.9760464856543802,1.5822701751588968
tap,COMPLETED_INFEASIBLE,42,0,13.625509128672647,110.39566100687416,0.9888552873374615,1.561916255394106
combined,COMPLETED_INFEASIBLE,38,0,16.29296996408071,110.39566100687416,0.9888552873374615,1.561916255394106
