policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,22,0,7.81241272276183,91.21185019320413,0.9862086149428978,1.3069290098135897
storage,COMPLETED_INFEASIBLE,11,0,10.034395204908215,83.83433641656191,0.9872962913181771,1.207516307453467
tap,COMPLETED_INFEASIBLE,19,0,7.618872680764116,91.18676886671186,0.9988832613513277,1.2904117378639282
combined,COMPLETED_INFEASIBLE,11,0,9.863135004120807,83.81325579622953,0.9999568070417506,1.1922860551046313
