policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,5.701159392932125,63.63511285210405,0.9903837339265322,0.7292482460211663
tap_m2,COMPLETED_VALID,0,0,5.8460190811494295,63.64769748102841,0.9777597558161351,0.7386365550744635
tap_p2,COMPLETED_VALID,0,0,5.561615576520828,63.6230018648305,1.003004568061877,0.7200975242300236
tap_p4,COMPLETED_VALID,0,0,5.427130724406497,63.611340920077616,1.0156223773248254,0.7111754130042102
combined_loss,COMPLETED_VALID,0,0,5.9797362633111595,61.77832469591328,1.016164088040243,0.6918803121828341
combined_peak,COMPLETED_VALID,0,0,7.790520086395812,56.29318981067172,1.0164880308547004,0.6343764441188957
storage_loss,COMPLETED_VALID,0,0,6.242316684115992,61.80064125572826,0.9909394229991882,0.7094532144228061
storage_peak,COMPLETED_VALID,0,0,8.026407895128791,56.3118731840967,0.9912718357688993,0.6504677990989305
