policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,7.81241272276183,91.21185019320413,0.9862086149428978,1.045543207850872
combined_loss,COMPLETED_VALID,0,0,7.968843029965092,89.31666594618494,1.012200888236597,0.999996808449277
combined_peak,COMPLETED_VALID,0,0,9.761466540266834,83.79296397660106,1.0126132715752618,0.9419513623388659
storage_loss,COMPLETED_INFEASIBLE,4,0,8.33632628700664,89.36373469047005,0.9868729256068808,1.025578518774492
storage_peak,COMPLETED_VALID,0,0,10.100808137229441,83.83433641656191,0.9872962913181771,0.9660130459627737
