policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,7.773656142865051,91.21185019320413,0.9862086149428978,1.045543207850872
tap_m2,COMPLETED_INFEASIBLE,6,0,7.973677896098632,91.23792246691802,0.9735293693297857,1.059103951082682
tap_p2,COMPLETED_INFEASIBLE,4,0,7.581093232307313,91.18676886671186,0.9988832613513277,1.0323293902911428
tap_p4,COMPLETED_INFEASIBLE,4,0,7.395621543566564,91.16262851514738,1.011553485469669,1.0194492031977853
combined_loss,COMPLETED_VALID,0,0,7.929193703135879,89.31666594618494,1.012200888236597,0.999996808449277
combined_peak,COMPLETED_VALID,0,0,9.708578010510287,83.79296397660106,1.0126132715752618,0.9419513623388659
storage_loss,COMPLETED_INFEASIBLE,4,0,8.29462674133703,89.36373469047005,0.9868729256068808,1.025578518774492
storage_peak,COMPLETED_VALID,0,0,10.045231750902431,83.83433641656191,0.9872962913181771,0.9660130459627737
