policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,44,0,14.056398355561317,110.4518314863745,0.9760464856543802,1.5822701751588968
combined_loss,COMPLETED_INFEASIBLE,39,0,13.989380616475152,110.34164835074395,1.0016560602644227,1.5420898842039141
combined_peak,COMPLETED_INFEASIBLE,36,0,16.011205360198463,110.34164835074395,1.0016560602644227,1.5420898842039141
storage_loss,COMPLETED_INFEASIBLE,43,0,14.678338979515187,110.4518314863745,0.9760464856543802,1.5822701751588968
storage_peak,COMPLETED_INFEASIBLE,40,0,16.68324817172887,110.4518314863745,0.9760464856543802,1.5822701751588968
