policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,11.763919088067981,91.72725689352725,0.9801132112118456,1.0511122808934525
storage,COMPLETED_VALID,0,0,13.53084986477706,84.26710111809786,0.9816145904320269,0.9706644099558136
tap,COMPLETED_INFEASIBLE,6,0,11.47129531299246,91.68881102835073,0.9928676758849516,1.0376867614800824
combined,COMPLETED_VALID,0,0,13.271970396959446,84.23485348524645,0.9943491609930056,0.9583039722376758
